name,code,province,city,type,belong,website,level,logo,longitude,latitude,status,created_at,updated_at,deleted_at
兰州理工大学,10731,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
上海中医药大学,10268,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河北工业大学,10080,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
重庆邮电大学,10617,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中北大学,10110,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
延安大学,10719,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
南昌航空大学,10406,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
五邑大学,11349,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
北京师范大学,10027,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
海南大学,10589,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
三峡大学,11075,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
广西科技大学,10594,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
广东外语外贸大学,11846,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
深圳大学,10590,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国戏曲学院,10049,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西南交通大学,10613,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
山西医科大学,10114,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
江西科技师范大学,11318,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国农业机械化科学研究院,82715,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
